type,time,normalized_mutual_info_score,v_measure_score,completeness_score,homogeneity_score,adjusted_mutual_info_score,mutual_info_score,adjusted_rand_score
kmeans,1584322532.0536695,0.6426598653411438,0.6426583176523606,0.6440718321615102,0.6412509939057986,0.6367603283317135,0.7044862220255494,0.5923326221845838
kmeans_kernel,1584322534.1311285,0.660444883200599,0.6548220287056097,0.7528518762523034,0.5793801642856945,0.5740217694635978,0.6365141682948121,0.45666038938324494
dbscan,1584322536.25751,0.5270295820824613,0.5224846582030883,0.4619483536785258,0.6012797278704229,0.43251365137130426,0.6605732979654635,0.454496850481316
kmeansPP,1584322538.2520056,0.6525582212518402,0.6525582020084983,0.6527167170006234,0.6523997639897414,0.6480495121753058,0.7167343978433044,0.6100728505285608
