type,time,normalized_mutual_info_score,v_measure_score,completeness_score,homogeneity_score,adjusted_mutual_info_score,mutual_info_score,adjusted_rand_score
kmeans,1584322622.4777026,0.8352367604070832,0.8352365900962853,0.8357703159116504,0.8347035455241806,0.001957450103283908,4.363500397429846,0.0014313599036439224
kmeans_kernel,1584322638.950312,0.8364786428746719,0.8364786397058079,0.8365514565783335,0.8364058355087379,0.005699874342130209,4.372399297002019,0.004184531787280237
dbscan,1584322641.7132366,0.05325802716048448,0.007881712648318915,0.7157838039186832,0.003962673423872461,-0.0002785305795109404,0.02071529125839955,-1.3514228618781512e-05
kmeansPP,1584322643.729644,0.2748576917016243,0.20787481499468993,0.6011855717154823,0.1256629470863257,0.016683335572869773,0.6569162458858913,0.002160390429768487
