type,time,normalized_mutual_info_score,v_measure_score,completeness_score,homogeneity_score,adjusted_mutual_info_score,mutual_info_score,adjusted_rand_score
kmeans,1584322552.8490658,0.7922277355540298,0.7920815239749541,0.8075966508145213,0.7771512974305422,0.02381574956441462,4.054690326851857,0.013195872552749096
kmeans_kernel,1584322613.0476446,0.7902900773642947,0.7900483675347815,0.8100822345964511,0.7709814876900635,0.03717737490126771,4.022500111180922,0.017096987447369868
dbscan,1584322616.2303574,0.44915084045948206,0.3908626870884375,0.7704049389085657,0.2618577157244859,0.0110183363495238,1.3662100938002877,0.0017196445727970734
kmeansPP,1584322618.3314164,0.2891963273048442,0.21520097147460662,0.6482538778952649,0.1290150642802988,0.03379127893917947,0.6731200666910697,0.003637307594844838
